vacancy_name,vacancy_salary,min_salary,max_salary,currency_salary,vacancy_link,vacancy_source
Data Scientist в команду качества геопоиска,,,,,https://spb.hh.ru/vacancy/76208598?from=vacancy_search_list&query=Data+Analyst,hh.ru
Системный аналитик (systems analyst),от 120 000 руб.,120000.0,,руб.,https://spb.hh.ru/vacancy/77145441?from=vacancy_search_list&query=Data+Analyst,hh.ru
"Business Analyst for Power BI (Limassol, Cyprus)",,,,,https://spb.hh.ru/vacancy/77074166?from=vacancy_search_list&query=Data+Analyst,hh.ru
Бизнес-аналитик (Big Data),,,,,https://spb.hh.ru/vacancy/74377863?from=vacancy_search_list&query=Data+Analyst,hh.ru
Business Analyst,,,,,https://spb.hh.ru/vacancy/76064376?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Scientist,,,,,https://spb.hh.ru/vacancy/76165484?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst,,,,,https://spb.hh.ru/vacancy/71833309?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Science Trainee,,,,,https://spb.hh.ru/vacancy/76943642?from=vacancy_search_list&query=Data+Analyst,hh.ru
Продуктовый аналитик,,,,,https://spb.hh.ru/vacancy/76176885?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior Data Analyst/Аналитик данных (аналитика соцмедиа),,,,,https://spb.hh.ru/vacancy/76954260?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst (финансовый мониторинг),,,,,https://spb.hh.ru/vacancy/68822135?from=vacancy_search_list&query=Data+Analyst,hh.ru
Middle Data Analyst,до 120 000 руб.,,120000.0,руб.,https://spb.hh.ru/vacancy/76151297?from=vacancy_search_list&query=Data+Analyst,hh.ru
Business Analyst Lead (remote),2 500 – 3 500 USD,2500.0,3500.0,USD,https://spb.hh.ru/vacancy/77177317?from=vacancy_search_list&query=Data+Analyst,hh.ru
Business Analyst / Solution Architect,от 3 500 USD,3500.0,,USD,https://spb.hh.ru/vacancy/76870884?from=vacancy_search_list&query=Data+Analyst,hh.ru
Game analyst,,,,,https://spb.hh.ru/vacancy/76637243?from=vacancy_search_list&query=Data+Analyst,hh.ru
Junior + Data Engineer в СберМаркет,,,,,https://spb.hh.ru/vacancy/77122368?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Scientist в команду качества геопоиска,,,,,https://spb.hh.ru/vacancy/76208597?from=vacancy_search_list&query=Data+Analyst,hh.ru
Дата аналитик/Дата инженер,,,,,https://spb.hh.ru/vacancy/76988238?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior Data Analyst (Аналитик данных),,,,,https://spb.hh.ru/vacancy/76747491?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик,от 70 000 руб.,70000.0,,руб.,https://spb.hh.ru/vacancy/76448683?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Scientist,,,,,https://spb.hh.ru/vacancy/73014433?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data analyst,2 500 – 6 000 USD,2500.0,6000.0,USD,https://spb.hh.ru/vacancy/76735583?from=vacancy_search_list&query=Data+Analyst,hh.ru
Marketing and Sales Analyst,,,,,https://spb.hh.ru/vacancy/77144393?from=vacancy_search_list&query=Data+Analyst,hh.ru
Middle Data Analyst / Middle Аналитик данных (Data Science),100 000 – 150 000 руб.,100000.0,150000.0,руб.,https://spb.hh.ru/vacancy/69651005?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик,,,,,https://spb.hh.ru/vacancy/76052115?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик данных / Data engineer,,,,,https://spb.hh.ru/vacancy/77074237?from=vacancy_search_list&query=Data+Analyst,hh.ru
Microsoft Power BI разработчик,1 500 – 2 500 USD,1500.0,2500.0,USD,https://spb.hh.ru/vacancy/76686028?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data-аналитик по прогнозированию и товарному запасу (г. Екатеринбург),,,,,https://spb.hh.ru/vacancy/73139271?from=vacancy_search_list&query=Data+Analyst,hh.ru
Product analyst (machine learning),,,,,https://spb.hh.ru/vacancy/73568858?from=vacancy_search_list&query=Data+Analyst,hh.ru
Бизнес-аналитик,до 150 000 руб.,,150000.0,руб.,https://spb.hh.ru/vacancy/76865944?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик данных / Data engineer,,,,,https://spb.hh.ru/vacancy/77074258?from=vacancy_search_list&query=Data+Analyst,hh.ru
Middle Data Analyst,,,,,https://spb.hh.ru/vacancy/76936797?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior Systems/Business Analyst,600 000 – 1 200 000 KZT,600000.0,1200000.0,KZT,https://spb.hh.ru/vacancy/76389837?from=vacancy_search_list&query=Data+Analyst,hh.ru
Demand Planning Business Excellence Analyst,,,,,https://spb.hh.ru/vacancy/76912075?from=vacancy_search_list&query=Data+Analyst,hh.ru
Lead Product Analyst (Команда беспилотных автомобилей),,,,,https://spb.hh.ru/vacancy/76402003?from=vacancy_search_list&query=Data+Analyst,hh.ru
Team lead data аналитик,,,,,https://spb.hh.ru/vacancy/72893267?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst (Дата Аналитик),,,,,https://spb.hh.ru/vacancy/76834670?from=vacancy_search_list&query=Data+Analyst,hh.ru
Системный/бизнес аналитик,от 250 000 руб.,250000.0,,руб.,https://spb.hh.ru/vacancy/76987767?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst/Аналитик отчётности,от 130 000 руб.,130000.0,,руб.,https://spb.hh.ru/vacancy/76700906?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data-аналитик по прогнозированию и товарному запасу,,,,,https://spb.hh.ru/vacancy/76665408?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior Product Data Analyst / Ведущий продуктовый аналитик,,,,,https://spb.hh.ru/vacancy/75902289?from=vacancy_search_list&query=Data+Analyst,hh.ru
Финансовый аналитик,2 000 – 2 500 USD,2000.0,2500.0,USD,https://spb.hh.ru/vacancy/76451879?from=vacancy_search_list&query=Data+Analyst,hh.ru
Associate,250 000 – 300 000 руб.,250000.0,300000.0,руб.,https://spb.hh.ru/vacancy/76450599?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик поддержки в Плюс,,,,,https://spb.hh.ru/vacancy/76312945?from=vacancy_search_list&query=Data+Analyst,hh.ru
Credit risk analyst,,,,,https://spb.hh.ru/vacancy/75705029?from=vacancy_search_list&query=Data+Analyst,hh.ru
Бизнес-аналитик,,,,,https://spb.hh.ru/vacancy/76287281?from=vacancy_search_list&query=Data+Analyst,hh.ru
Senior Product analyst,,,,,https://spb.hh.ru/vacancy/76013837?from=vacancy_search_list&query=Data+Analyst,hh.ru
Аналитик,,,,,https://spb.hh.ru/vacancy/77074047?from=vacancy_search_list&query=Data+Analyst,hh.ru
Quantitative Analyst,,,,,https://spb.hh.ru/vacancy/75837901?from=vacancy_search_list&query=Data+Analyst,hh.ru
Продуктовый аналитик со знанием web-аналитики,,,,,https://spb.hh.ru/vacancy/76941208?from=vacancy_search_list&query=Data+Analyst,hh.ru
Fraud Activity Analyst,,,,,https://spb.hh.ru/vacancy/76704863?from=vacancy_search_list&query=Data+Analyst,hh.ru
Data Analyst/Marketing analyst,,,,,https://spb.hh.ru/vacancy/75680165?from=vacancy_search_list&query=Data+Analyst,hh.ru
